Date,Forecasted_Sales
2024-12-31,92.25541751714313
2025-01-01,94.89136036683242
2025-01-02,94.16751865214995
2025-01-03,93.85114755636079
2025-01-04,94.4702649397267
2025-01-05,94.32670787473185
2025-01-06,94.09443264811277
2025-01-07,94.28544581098369
2025-01-08,94.25923622371052
2025-01-09,94.20306928554233
2025-01-10,94.24540871652866
2025-01-11,94.24670576378718
2025-01-12,94.2265436551792
2025-01-13,94.23826457494529
2025-01-14,94.2394715977607
2025-01-15,94.23413887061895
2025-01-16,94.23659718218272
2025-01-17,94.2375055716465
2025-01-18,94.23588180747196
2025-01-19,94.23647623112872
2025-01-20,94.23679354505717
2025-01-21,94.23637117373487
2025-01-22,94.23647646204486
2025-01-23,94.2365972186455
2025-01-24,94.23648001426096
2025-01-25,94.23649892259134
2025-01-26,94.23653632902145
2025-01-27,94.23650715333648
2025-01-28,94.23650806579333
2025-01-29,94.23652000849442
