ds,yhat
2024-12-31,96.94344358430936
2025-01-01,94.36960637093732
2025-01-02,93.00751293552088
2025-01-03,96.18673739683128
2025-01-04,96.36365135800602
2025-01-05,96.75246831526472
2025-01-06,92.52447463950612
2025-01-07,96.80268865417064
2025-01-08,94.22885144081741
2025-01-09,92.86675800538757
2025-01-10,96.04598246669597
2025-01-11,96.22289642788014
2025-01-12,96.61171338513233
2025-01-13,92.38371970937388
2025-01-14,96.6619337240466
2025-01-15,94.08809651068732
2025-01-16,92.72600307526555
2025-01-17,95.90522753657997
2025-01-18,96.08214149773512
2025-01-19,96.47095845499996
2025-01-20,92.2429647792409
2025-01-21,96.52117879392259
2025-01-22,93.94734158054702
2025-01-23,92.58524814513254
2025-01-24,95.76447260644466
2025-01-25,95.94138656761056
2025-01-26,96.33020352486756
2025-01-27,92.10220984910866
2025-01-28,96.38042386378386
2025-01-29,93.80658665042712
